time:100530, score:-187.000000, speed:-1.889044
time:101534, score:-188.000000, speed:-1.789798
time:102537, score:-188.000000, speed:-1.491944
time:103538, score:-186.000000, speed:-1.094527
time:104542, score:-189.000000, speed:-1.294176
time:105549, score:-191.000000, speed:-1.393035
time:106555, score:-189.000000, speed:-0.895522
time:107563, score:-186.000000, speed:-0.497611
time:108568, score:-185.000000, speed:-0.099542
time:109577, score:-184.000000, speed:0.000000
time:110585, score:-186.000000, speed:0.099453
time:111590, score:-186.000000, speed:0.198886
time:112595, score:-188.000000, speed:0.000000
time:113601, score:-190.000000, speed:-0.397535
time:114603, score:-192.000000, speed:-0.298181
time:115612, score:-194.000000, speed:-0.298122
time:116616, score:-193.000000, speed:-0.397575
time:117623, score:-195.000000, speed:-0.894632
time:118630, score:-198.000000, speed:-1.292118
time:119634, score:-198.000000, speed:-1.392204
time:120640, score:-201.000000, speed:-1.491795
time:121648, score:-204.000000, speed:-1.789620
time:122650, score:-206.000000, speed:-1.790154
time:123656, score:-207.000000, speed:-1.690533
time:124664, score:-208.000000, speed:-1.590299
time:125672, score:-211.000000, speed:-1.689861
time:126681, score:-213.000000, speed:-1.987084
time:127688, score:-213.000000, speed:-1.788553
time:128689, score:-215.000000, speed:-1.690029
time:129694, score:-216.000000, speed:-1.789264
time:130700, score:-216.000000, speed:-1.491054
time:131701, score:-214.000000, speed:-0.994728
time:132706, score:-216.000000, speed:-0.994332
time:133709, score:-216.000000, speed:-0.895344
time:134717, score:-216.000000, speed:-0.795782
time:135724, score:-215.000000, speed:-0.397970
time:136727, score:-217.000000, speed:-0.398168
time:137733, score:-217.000000, speed:-0.398168
time:138741, score:-220.000000, speed:-0.497364
time:139747, score:-222.000000, speed:-0.596777
time:140755, score:-223.000000, speed:-0.696240
time:141759, score:-222.000000, speed:-0.795387
time:142769, score:-225.000000, speed:-0.894365
time:143770, score:-227.000000, speed:-1.093222
time:144774, score:-228.000000, speed:-1.193199
time:145784, score:-231.000000, speed:-1.590457
time:146784, score:-234.000000, speed:-1.690365
time:147791, score:-234.000000, speed:-1.690197
time:148797, score:-233.000000, speed:-1.292761
time:149801, score:-236.000000, speed:-1.392481
time:150812, score:-236.000000, speed:-1.292503
time:151818, score:-239.000000, speed:-1.690029
time:152828, score:-241.000000, speed:-1.590615
time:153837, score:-241.000000, speed:-1.390682
time:154840, score:-240.000000, speed:-1.192250
time:155846, score:-241.000000, speed:-0.993739
time:156848, score:-242.000000, speed:-0.794913
time:157854, score:-242.000000, speed:-0.794992
time:158859, score:-241.000000, speed:-0.795071
time:159864, score:-243.000000, speed:-0.695618
time:160867, score:-240.000000, speed:-0.397812
time:161874, score:-239.000000, speed:0.000000
time:162876, score:-239.000000, speed:0.199045
time:163884, score:-239.000000, speed:0.199084
time:164889, score:-241.000000, speed:-0.099502
time:165898, score:-242.000000, speed:-0.099483
time:166904, score:-245.000000, speed:-0.298329
time:167911, score:-246.000000, speed:-0.397733
time:168917, score:-247.000000, speed:-0.596599
time:169924, score:-250.000000, speed:-0.695825
time:170926, score:-251.000000, speed:-1.093657
time:171928, score:-253.000000, speed:-1.392619
time:172936, score:-254.000000, speed:-1.491202
time:173940, score:-255.000000, speed:-1.590932
time:174945, score:-255.000000, speed:-1.392342
time:176332, score:-256.000000, speed:-1.341896
time:177337, score:-258.000000, speed:-1.246166
time:178343, score:-257.000000, speed:-1.054448
time:179349, score:-258.000000, speed:-1.054448
time:180354, score:-258.000000, speed:-0.767018
time:181362, score:-256.000000, speed:-0.479065
time:182364, score:-257.000000, speed:-0.383252
time:183367, score:-260.000000, speed:-0.575209
time:184370, score:-261.000000, speed:-0.575264
time:185374, score:-264.000000, speed:-0.862895
time:186382, score:-266.000000, speed:-0.994926
time:187388, score:-265.000000, speed:-0.696448
time:188390, score:-266.000000, speed:-0.895790
time:189395, score:-268.000000, speed:-0.995322
time:190405, score:-271.000000, speed:-1.293404
time:191410, score:-273.000000, speed:-1.691879
time:192418, score:-274.000000, speed:-1.690869
time:193428, score:-274.000000, speed:-1.391512
time:194431, score:-275.000000, speed:-1.391650
time:195432, score:-274.000000, speed:-0.994233
time:196441, score:-273.000000, speed:-0.695894
time:197447, score:-276.000000, speed:-1.093439
time:198456, score:-277.000000, speed:-1.092788
time:199457, score:-280.000000, speed:-1.192606
time:200458, score:-281.000000, speed:-0.994728
time:201467, score:-283.000000, speed:-0.994332
time:202471, score:-286.000000, speed:-1.193674
time:203475, score:-286.000000, speed:-1.194386
time:204478, score:-288.000000, speed:-1.293790
time:205488, score:-290.000000, speed:-1.591090
time:206490, score:-290.000000, speed:-1.691879
time:207493, score:-291.000000, speed:-1.493132
time:208495, score:-294.000000, speed:-1.693396
time:209498, score:-296.000000, speed:-1.593467
time:210502, score:-299.000000, speed:-1.792472
time:211501, score:-299.000000, speed:-1.594578
time:212508, score:-299.000000, speed:-1.295208
time:213513, score:-300.000000, speed:-1.394700
time:214515, score:-302.000000, speed:-1.394978
time:215519, score:-304.000000, speed:-1.395673
time:216521, score:-305.000000, speed:-1.495215
time:217522, score:-305.000000, speed:-1.395952
time:218529, score:-306.000000, speed:-1.195934
time:219537, score:-307.000000, speed:-1.095727
time:220545, score:-309.000000, speed:-0.995520
time:221549, score:-310.000000, speed:-1.094745
time:222552, score:-311.000000, speed:-1.194743
time:223562, score:-312.000000, speed:-1.194030
time:224563, score:-315.000000, speed:-1.293661
time:225573, score:-317.000000, speed:-1.293018
time:226582, score:-318.000000, speed:-1.292118
time:227586, score:-318.000000, speed:-1.291733
time:228591, score:-319.000000, speed:-1.291990
time:229597, score:-320.000000, speed:-1.292247
time:230598, score:-319.000000, speed:-0.994728
time:231608, score:-320.000000, speed:-0.994135
time:232616, score:-321.000000, speed:-0.993739
time:233624, score:-323.000000, speed:-1.093222
time:234628, score:-326.000000, speed:-1.092896
time:235632, score:-327.000000, speed:-0.994135
time:236635, score:-328.000000, speed:-0.994827
time:237642, score:-330.000000, speed:-1.193317
time:238647, score:-333.000000, speed:-1.392204
time:239655, score:-334.000000, speed:-1.391927
time:240662, score:-337.000000, speed:-1.788731
time:241665, score:-339.000000, speed:-1.889419
time:242667, score:-342.000000, speed:-2.089136
time:243673, score:-344.000000, speed:-2.089760
time:244674, score:-345.000000, speed:-1.891300
time:245682, score:-346.000000, speed:-1.890547
time:246691, score:-345.000000, speed:-1.690533
time:247697, score:-346.000000, speed:-1.591406
time:248705, score:-347.000000, speed:-1.391927
time:249708, score:-350.000000, speed:-1.591565
time:250716, score:-351.000000, speed:-1.392342
time:251723, score:-352.000000, speed:-1.292375
time:252728, score:-351.000000, speed:-0.894632
time:253733, score:-353.000000, speed:-0.894721
time:254736, score:-354.000000, speed:-0.894454
time:255746, score:-357.000000, speed:-1.093113
time:256750, score:-357.000000, speed:-1.192962
time:257757, score:-357.000000, speed:-1.093331
time:258766, score:-357.000000, speed:-0.993937
time:259769, score:-360.000000, speed:-0.993937
time:260774, score:-362.000000, speed:-1.093657
time:261779, score:-365.000000, speed:-1.292761
time:262783, score:-367.000000, speed:-1.591090
time:263791, score:-366.000000, speed:-1.292375
time:264792, score:-367.000000, speed:-1.292761
time:265797, score:-368.000000, speed:-1.094418
time:266799, score:-369.000000, speed:-1.194030
time:267941, score:-370.000000, speed:-1.276512
time:268944, score:-370.000000, speed:-1.277265
time:269947, score:-370.000000, speed:-0.982511
time:270951, score:-368.000000, speed:-0.589623
time:271954, score:-367.000000, speed:-0.196560
time:272957, score:-369.000000, speed:-0.196580
time:273959, score:-372.000000, speed:-0.590087
time:274962, score:-373.000000, speed:-0.589971
time:275969, score:-375.000000, speed:-0.688096
time:276978, score:-375.000000, speed:-0.589449
time:277986, score:-376.000000, speed:-0.597312
time:278994, score:-375.000000, speed:-0.497512
time:280000, score:-378.000000, speed:-0.795862
time:281000, score:-378.000000, speed:-0.995025
time:282001, score:-377.000000, speed:-0.995322
time:283002, score:-379.000000, speed:-0.995520
time:284011, score:-380.000000, speed:-0.795862
time:285021, score:-382.000000, speed:-0.894810
time:286026, score:-384.000000, speed:-0.894899
time:287035, score:-384.000000, speed:-0.894899
time:288041, score:-387.000000, speed:-1.093983
time:289047, score:-386.000000, speed:-1.094310
time:290047, score:-388.000000, speed:-0.995223
time:291049, score:-387.000000, speed:-0.895612
time:292059, score:-388.000000, speed:-1.093657
time:293063, score:-389.000000, speed:-0.994036
time:294065, score:-389.000000, speed:-0.895255
time:295070, score:-388.000000, speed:-0.597015
time:296073, score:-389.000000, speed:-0.497661
time:297082, score:-391.000000, speed:-0.696725
time:298090, score:-392.000000, speed:-0.497611
time:299097, score:-393.000000, speed:-0.696448
time:300098, score:-392.000000, speed:-0.397970
time:301104, score:-393.000000, speed:-0.596718
time:302105, score:-395.000000, speed:-0.696795
time:303107, score:-397.000000, speed:-0.796416
time:304111, score:-399.000000, speed:-0.995322
time:305119, score:-398.000000, speed:-0.995124
time:306126, score:-400.000000, speed:-1.094201
time:307130, score:-399.000000, speed:-0.796258
time:308138, score:-398.000000, speed:-0.597074
time:309145, score:-401.000000, speed:-0.796178
time:310147, score:-401.000000, speed:-0.895701
time:311156, score:-400.000000, speed:-0.696448
time:312165, score:-401.000000, speed:-0.596421
time:313170, score:-403.000000, speed:-0.596244
time:314172, score:-404.000000, speed:-0.496968
time:315179, score:-403.000000, speed:-0.497018
time:316188, score:-406.000000, speed:-0.596303
time:317190, score:-406.000000, speed:-0.695756
time:318195, score:-408.000000, speed:-0.994431
time:319200, score:-406.000000, speed:-0.497265
time:320203, score:-407.000000, speed:-0.596659
time:321203, score:-406.000000, speed:-0.597134
time:322207, score:-408.000000, speed:-0.697072
time:323208, score:-407.000000, speed:-0.398486
time:324217, score:-406.000000, speed:-0.199104
time:325219, score:-407.000000, speed:-0.398406
time:326227, score:-407.000000, speed:-0.099612
time:327236, score:-406.000000, speed:0.000000
time:328237, score:-407.000000, speed:0.099572
time:329244, score:-408.000000, speed:-0.199124
time:330252, score:-409.000000, speed:-0.199025
time:331255, score:-409.000000, speed:-0.298448
time:332257, score:-410.000000, speed:-0.199025
time:333257, score:-412.000000, speed:-0.497562
time:334263, score:-414.000000, speed:-0.796416
time:335272, score:-413.000000, speed:-0.596896
time:336273, score:-414.000000, speed:-0.696795
time:337281, score:-413.000000, speed:-0.696864
time:338284, score:-413.000000, speed:-0.597193
time:339293, score:-416.000000, speed:-0.796099
time:340304, score:-418.000000, speed:-0.895344
time:341307, score:-420.000000, speed:-1.094418
time:342311, score:-422.000000, speed:-1.193555
time:343318, score:-423.000000, speed:-1.093439
time:344318, score:-424.000000, speed:-0.994431
time:345328, score:-424.000000, speed:-1.093874
time:346330, score:-425.000000, speed:-1.093874
time:347333, score:-427.000000, speed:-1.392896
time:348336, score:-427.000000, speed:-1.392758
time:349345, score:-429.000000, speed:-1.293404
time:350345, score:-429.000000, speed:-1.095399
time:351352, score:-430.000000, speed:-0.995421
time:352358, score:-430.000000, speed:-0.796178
time:353363, score:-429.000000, speed:-0.597253
time:354368, score:-430.000000, speed:-0.597015
time:355370, score:-429.000000, speed:-0.497859
time:356376, score:-430.000000, speed:-0.497661
time:357380, score:-432.000000, speed:-0.497611
time:358386, score:-431.000000, speed:-0.398010
time:359392, score:-434.000000, speed:-0.497611
time:100903, score:-164.000000, speed:-1.093331
time:101913, score:-166.000000, speed:-1.291476
time:102914, score:-165.000000, speed:-1.589983
time:103916, score:-168.000000, speed:-1.789087
time:104918, score:-171.000000, speed:-1.888856
time:105919, score:-173.000000, speed:-1.889419
time:106924, score:-174.000000, speed:-1.989060
time:107932, score:-177.000000, speed:-2.088305
time:108933, score:-175.000000, speed:-1.691711
time:109936, score:-177.000000, speed:-1.593467
time:110941, score:-180.000000, speed:-1.593943
time:111948, score:-180.000000, speed:-1.395117
time:112949, score:-181.000000, speed:-1.594420
time:113952, score:-183.000000, speed:-1.494768
time:114953, score:-185.000000, speed:-1.394978
time:115955, score:-186.000000, speed:-1.295337
time:116956, score:-188.000000, speed:-1.395534
time:117957, score:-190.000000, speed:-1.296758
time:118967, score:-192.000000, speed:-1.694408
time:119969, score:-192.000000, speed:-1.494917
time:120974, score:-194.000000, speed:-1.395395
time:121982, score:-196.000000, speed:-1.594737
time:122984, score:-197.000000, speed:-1.594420
time:123985, score:-196.000000, speed:-1.295595
time:124994, score:-199.000000, speed:-1.394422
time:125999, score:-197.000000, speed:-1.095181
time:127003, score:-198.000000, speed:-0.995421
time:128003, score:-198.000000, speed:-0.796337
time:129005, score:-198.000000, speed:-0.597669
time:130009, score:-201.000000, speed:-0.896414
time:131010, score:-203.000000, speed:-0.896772
time:132013, score:-206.000000, speed:-0.996810
time:133016, score:-208.000000, speed:-1.096491
time:134019, score:-211.000000, speed:-1.494917
time:135027, score:-213.000000, speed:-1.395395
time:136033, score:-216.000000, speed:-1.893562
time:137040, score:-218.000000, speed:-1.992429
time:138041, score:-219.000000, speed:-2.092050
time:139046, score:-222.000000, speed:-2.390200
time:140049, score:-224.000000, speed:-2.290837
time:141050, score:-224.000000, speed:-2.091633
time:142058, score:-224.000000, speed:-1.792115
time:143062, score:-225.000000, speed:-1.692384
time:144067, score:-227.000000, speed:-1.592357
time:145073, score:-230.000000, speed:-1.692047
time:146081, score:-232.000000, speed:-1.592357
time:147083, score:-234.000000, speed:-1.593149
time:148093, score:-236.000000, speed:-1.691206
time:149095, score:-237.000000, speed:-1.492686
time:150104, score:-238.000000, speed:-1.392342
time:151107, score:-239.000000, speed:-1.491647
time:152107, score:-241.000000, speed:-1.691542
time:153108, score:-243.000000, speed:-1.791580
time:154112, score:-243.000000, speed:-1.592832
time:155121, score:-243.000000, speed:-1.293790
time:156126, score:-244.000000, speed:-1.194624
time:157131, score:-245.000000, speed:-1.094745
time:158133, score:-247.000000, speed:-1.095618
time:159134, score:-248.000000, speed:-1.095727
time:160139, score:-249.000000, speed:-1.096163
time:161143, score:-250.000000, speed:-1.095945
time:162151, score:-253.000000, speed:-1.194743
time:163156, score:-254.000000, speed:-1.094854
time:164160, score:-256.000000, speed:-1.293790
time:165162, score:-257.000000, speed:-1.394283
time:166169, score:-258.000000, speed:-1.394006
time:167172, score:-260.000000, speed:-1.493875
time:168179, score:-262.000000, speed:-1.493132
time:169188, score:-265.000000, speed:-1.691038
time:170196, score:-265.000000, speed:-1.590932
time:171205, score:-268.000000, speed:-1.788909
time:172209, score:-270.000000, speed:-1.690197
time:173212, score:-273.000000, speed:-1.889231
time:174213, score:-275.000000, speed:-1.889983
time:175219, score:-276.000000, speed:-1.889231
time:176225, score:-279.000000, speed:-2.088513
time:177227, score:-280.000000, speed:-1.989060
time:178235, score:-282.000000, speed:-1.988862
time:179239, score:-281.000000, speed:-1.591723
time:180247, score:-282.000000, speed:-1.691374
time:181249, score:-281.000000, speed:-1.294305
time:182250, score:-282.000000, speed:-1.195100
time:183254, score:-283.000000, speed:-0.995818
time:184257, score:-284.000000, speed:-0.896057
time:185267, score:-286.000000, speed:-0.995223
time:186277, score:-289.000000, speed:-0.994827
time:187284, score:-291.000000, speed:-1.093766
time:188287, score:-294.000000, speed:-1.193792
time:189294, score:-293.000000, speed:-1.193436
time:190300, score:-294.000000, speed:-1.193674
time:191308, score:-293.000000, speed:-1.192962
time:192317, score:-294.000000, speed:-1.192014
time:193326, score:-297.000000, speed:-1.389992
time:194332, score:-299.000000, speed:-1.488834
time:195336, score:-298.000000, speed:-1.191895
time:196339, score:-300.000000, speed:-1.093222
time:197342, score:-301.000000, speed:-0.994332
time:198346, score:-302.000000, speed:-0.795308
time:199348, score:-303.000000, speed:-0.994629
time:200349, score:-305.000000, speed:-1.094636
time:201351, score:-302.000000, speed:-0.896147
time:202357, score:-300.000000, speed:-0.597610
time:203361, score:-299.000000, speed:-0.199302
time:204371, score:-302.000000, speed:-0.298835
time:205377, score:-304.000000, speed:-0.597491
time:206383, score:-305.000000, speed:-0.497760
time:207392, score:-304.000000, speed:-0.298478
time:208398, score:-307.000000, speed:-0.497413
time:209403, score:-308.000000, speed:-0.497265
time:210410, score:-309.000000, speed:-0.397575
time:211414, score:-309.000000, speed:-0.695687
time:212415, score:-310.000000, speed:-0.994233
time:213422, score:-313.000000, speed:-1.391650
time:214427, score:-313.000000, speed:-1.093874
time:215436, score:-313.000000, speed:-0.894721
time:216441, score:-314.000000, speed:-0.894810
time:217446, score:-315.000000, speed:-1.094092
time:218447, score:-316.000000, speed:-0.895612
time:219455, score:-317.000000, speed:-0.895344
time:220459, score:-319.000000, speed:-0.995124
time:221465, score:-318.000000, speed:-0.895344
time:222466, score:-321.000000, speed:-1.094418
time:223471, score:-323.000000, speed:-0.995124
time:224480, score:-326.000000, speed:-1.293275
time:225480, score:-328.000000, speed:-1.493429
time:226485, score:-331.000000, speed:-1.692553
time:227487, score:-334.000000, speed:-1.892430
time:228488, score:-332.000000, speed:-1.593625
time:229488, score:-334.000000, speed:-1.694408
time:230494, score:-334.000000, speed:-1.494768
time:231502, score:-336.000000, speed:-1.793365
time:232508, score:-338.000000, speed:-1.692890
time:233514, score:-339.000000, speed:-1.592991
time:234518, score:-341.000000, speed:-1.494322
time:235519, score:-342.000000, speed:-1.394700
time:236520, score:-344.000000, speed:-1.295595
time:237520, score:-344.000000, speed:-0.996612
time:238523, score:-346.000000, speed:-1.394978
time:239530, score:-348.000000, speed:-1.394145
time:240533, score:-350.000000, speed:-1.593784
time:241541, score:-350.000000, speed:-1.394561
time:242546, score:-351.000000, speed:-1.295079
time:243554, score:-350.000000, speed:-1.095618
time:244564, score:-349.000000, speed:-0.796258
time:245573, score:-351.000000, speed:-0.895166
time:246579, score:-354.000000, speed:-0.994135
time:247583, score:-354.000000, speed:-0.993739
time:248588, score:-355.000000, speed:-0.894188
time:249594, score:-355.000000, speed:-0.695548
time:250595, score:-356.000000, speed:-0.596303
time:251601, score:-357.000000, speed:-0.695825
time:252604, score:-360.000000, speed:-0.894899
